0			17538
1	0/1.	1	8174
1	0/2.	1.1.	4933
2	0/1.0/1.	2	3525
3	1/0.1/0.2/0.		3109
1	0/3.	1.1.1.	2106
2	0/1.0/2.	1.2.	1837
2	1/0.1/1.	1	1258
2	0/1.0/1.	1.1.	1205
2	0/2.0/2.	2.2.	883
3	0/1.0/1.0/2.	2.2.	880
2	0/1.0/2.	1.1.1.	852
2	0/1.0/3.	1.1.2.	850
3	0/1.1/0.1/1.	1.1.	836
2	1/1.1/2.	1.2.	804
3	0/1.0/1.0/1.	3	801
2	0/2.0/3.	1.2.2.	673
3	0/1.1/1.1/1.	1.2.	569
2	0/2.0/3.	1.1.1.2.	559
2	1/0.1/0.		527
4	0/1.1/0.1/1.2/0.	2	487
2	0/2.0/2.	1.1.2.	462
2	1/1.1/2.	1.1.1.	462
2	1/3.1/3.	1.1.1.1.2.	410
4	1/0.1/0.1/1.1/1.	2	400
3	1/0.1/0.2/1.	1	384
1	0/4.	1.1.1.1.	368
2	0/2.0/4.	1.1.1.1.2.	361
3	1/0.1/1.2/0.	1	354
2	0/3.0/4.	1.2.2.2.	340
2	1/0.1/2.	1.1.	338
2	0/2.0/3.	1.1.1.1.1.	330
4	1/0.1/1.1/1.3/0.	2	328
2	0/1.0/4.	1.1.1.2.	314
1	0/5.	1.1.1.1.1.	313
3	1/1.1/3.2/2.	1.1.2.2.	313
2	1/2.1/3.	1.1.1.2.	306
4	0/1.1/1.1/2.2/1.	2.3.	305
3	1/1.1/1.2/1.	3	275
3	0/1.0/2.0/3.	2.2.2.	272
3	0/2.0/2.0/4.	1.2.2.3.	268
3	0/1.0/2.0/2.	2.3.	260
3	0/1.0/1.0/1.	1.1.1.	247
4	0/1.0/1.1/1.1/2.	1.2.2.	244
8	1/0.2/0.3/0.3/0.3/0.3/0.3/0.4/0.		239
4	0/1.0/1.0/1.0/3.	2.2.2.	238
4	0/1.0/2.1/0.1/1.	1.1.2.	236
3	1/0.1/1.2/1.	1.1.	234
4	0/1.1/1.1/1.2/1.	4	230
2	0/2.0/4.	1.1.2.2.	224
3	1/1.1/2.2/1.	1.1.2.	216
6	0/1.1/0.1/1.2/0.2/1.2/2.	2.3.	206
6	1/1.2/0.2/0.3/2.3/2.3/2.	2.2.3.	202
2	0/2.0/5.	1.1.1.2.2.	201
3	0/1.0/2.0/3.	1.1.2.2.	199
3	0/1.1/1.1/2.	1.1.2.	197
4	0/1.1/0.1/1.2/1.	1.1.1.	197
7	1/0.1/1.2/0.2/1.3/1.3/2.4/1.	2.4.	194
3	0/1.0/2.0/2.	1.2.2.	191
2	0/1.0/5.	1.1.1.1.2.	188
3	0/1.0/1.0/1.	1.2.	188
3	0/1.0/1.0/3.	1.2.2.	188
6	0/1.0/1.1/0.1/1.1/1.1/1.	1.2.2.	188
2	1/2.1/2.	1.1.2.	185
7	0/1.2/1.3/0.3/0.3/2.4/1.5/1.	2.4.	185
2	0/1.0/3.	1.1.1.1.	182
3	1/1.1/4.2/2.	1.1.1.2.2.	182
2	1/1.1/1.	1.1.	174
4	2/1.2/3.3/1.3/1.	1.1.2.2.	172
6	1/0.1/1.1/2.2/0.2/1.3/0.	1.3.	168
5	0/1.0/1.1/0.1/2.2/0.	2.2.	167
8	1/0.2/0.2/1.2/1.3/0.3/1.3/1.4/1.	5	166
5	0/2.1/1.1/1.1/2.3/1.	1.1.1.4.	165
3	1/1.1/1.2/1.	1.2.	164
6	1/0.1/2.1/2.1/2.2/0.2/1.	1.2.2.2.	164
3	1/0.1/3.2/0.	1.1.1.	161
4	0/1.0/1.1/0.1/0.	1.1.	159
7	1/0.2/2.3/1.3/1.3/1.4/0.4/1.	2.4.	156
3	0/2.0/2.0/5.	1.1.2.2.3.	154
4	1/0.1/0.1/0.3/0.		152
3	0/1.0/1.0/2.	1.1.1.1.	151
2	1/2.1/2.	2.2.	150
3	0/4.1/2.1/3.	1.1.1.2.2.2.	150
3	2/2.2/2.2/3.	1.2.2.2.	150
3	0/1.0/1.0/2.	1.1.2.	147
3	1/1.1/1.2/0.	2	147
2	0/2.0/2.	1.1.1.1.	141
3	0/3.1/2.1/3.	1.2.2.3.	141
4	0/1.0/1.0/2.0/2.	2.2.2.	139
3	1/2.1/2.2/0.	2.2.	136
3	1/0.1/2.2/1.	1.2.	135
4	1/0.1/2.1/3.3/0.	1.2.2.	135
3	0/1.0/2.0/4.	1.1.1.2.2.	134
2	1/3.1/3.	1.1.2.2.	131
4	0/1.1/0.1/1.2/1.	3	131
7	1/1.2/0.2/0.2/1.3/0.3/0.5/1.	3	131
4	0/1.1/1.1/1.2/0.	3	130
3	0/2.1/1.1/2.	1.1.1.2.	128
6	1/1.1/3.2/0.2/1.2/2.2/2.	3.3.3.	128
5	0/1.0/1.1/1.1/3.2/1.	1.1.1.2.2.	126
6	0/1.1/0.1/0.2/0.2/0.2/1.	2	126
5	0/1.2/0.2/1.3/0.3/0.	2	125
7	1/1.2/0.2/0.2/0.2/1.2/1.5/1.	4	124
3	2/0.2/1.2/1.	2	123
2	1/3.1/4.	1.1.1.2.2.	122
3	0/1.1/0.1/2.	1.2.	118
3	1/1.1/2.2/2.	1.1.1.1.1.	115
3	0/3.1/3.1/3.	1.1.1.2.2.2.	114
4	0/1.1/1.1/2.2/2.	3.3.	114
6	1/2.2/0.2/1.2/3.3/1.4/0.	2.2.3.	114
5	0/1.0/1.2/0.2/1.2/1.	1.1.2.	112
1	0/6.	1.1.1.1.1.1.	111
4	0/1.0/1.0/2.0/3.	1.2.2.2.	111
4	1/0.1/1.2/0.2/1.	2	111
6	0/1.0/3.1/1.1/3.2/1.2/2.	1.2.2.3.3.	110
11	4/1.5/0.5/0.5/0.5/0.5/1.6/0.6/1.6/1.8/1.9/0.	5	107
3	0/2.1/2.1/2.	1.1.2.2.	107
3	0/1.0/2.0/4.	1.2.2.2.	106
3	1/0.1/1.2/2.	1.2.	106
5	0/1.1/0.1/1.1/1.1/2.	2.3.	106
6	1/0.1/1.1/1.1/2.1/2.1/3.	1.2.3.3.	106
6	1/2.1/3.1/4.2/2.2/3.3/2.	1.1.1.2.2.2.3.4.	106
4	0/1.0/1.0/1.0/2.	2.3.	105
10	3/2.4/0.4/1.4/2.5/0.5/1.5/2.6/0.6/1.6/1.	4.6.	103
6	1/0.2/2.2/2.2/2.3/1.4/0.	2.2.3.	103
9	2/1.3/1.3/1.3/3.4/0.4/1.4/2.5/1.6/0.	3.3.4.	103
9	3/0.3/0.3/1.4/0.4/1.5/0.5/0.5/1.6/0.	3	103
2	1/2.1/3.	1.1.1.1.1.	102
3	0/1.0/2.0/2.	1.1.1.2.	102
6	1/0.1/2.2/1.2/2.3/1.3/2.	1.2.2.3.	102
3	0/3.1/2.1/2.	1.2.2.2.	101
4	0/2.1/0.1/2.2/0.	1.1.2.	101
11	3/1.3/2.3/2.5/0.5/1.5/1.5/3.6/1.6/2.6/2.7/2.	4.5.8.	100
4	0/1.0/2.1/1.1/1.	2.3.	100
5	0/1.2/1.2/1.2/1.2/1.	2.3.	100
5	1/0.1/1.2/0.2/1.2/1.	3	100
6	1/0.1/0.1/0.1/1.1/1.1/1.	3	100
3	1/1.1/4.2/3.	1.1.2.2.2.	99
5	0/2.0/2.0/2.1/0.1/1.	1.1.1.2.2.	99
6	0/1.1/1.1/2.2/3.3/1.3/2.	2.2.3.3.	99
3	1/0.1/2.2/0.	1.1.	98
4	0/1.0/1.1/0.1/1.	1.1.1.	98
10	1/1.2/2.4/1.4/2.4/3.5/2.6/0.6/1.6/2.6/2.	5.5.6.	97
2	1/4.1/4.	1.1.1.1.1.1.2.	97
3	0/1.1/1.1/2.	1.3.	97
3	0/2.0/3.0/4.	1.1.1.2.2.2.	97
3	0/4.1/0.1/3.	1.1.1.2.2.	97
4	1/1.1/2.1/4.1/4.	1.1.2.2.2.3.	97
5	0/1.1/1.1/1.1/2.3/1.	3.3.	97
3	0/1.0/3.0/4.	1.1.2.2.2.	96
5	0/1.0/1.0/1.1/1.1/3.	1.2.2.2.	96
5	0/4.1/0.1/1.1/2.3/0.	1.1.1.2.2.	96
5	1/0.1/1.2/0.2/2.2/2.	1.1.3.	96
9	0/2.1/1.1/1.2/0.2/1.2/1.2/2.3/1.3/1.	2.2.6.	96
9	2/2.3/0.3/1.3/1.3/1.3/2.5/1.5/2.5/2.	6.6.	95
3	0/3.1/3.1/4.	1.1.2.3.3.	92
9	1/4.2/1.2/2.2/3.3/1.3/3.4/1.4/3.5/1.	3.4.5.7.	92
10	1/0.2/0.2/1.2/2.2/3.4/1.4/1.5/2.5/2.5/3.	1.1.3.5.5.	90
10	2/2.3/0.3/1.3/3.4/1.4/1.4/2.5/2.6/1.6/2.	3.5.7.	90
3	1/0.1/0.2/2.	1.1.	90
8	0/2.2/0.2/1.2/1.2/1.3/1.3/1.4/2.	2.2.5.	90
4	0/1.0/2.1/1.1/2.	1.2.3.	89
4	0/1.1/0.1/2.2/0.	1.2.	89
4	1/1.1/1.1/1.3/0.	3	89
5	1/0.1/0.2/0.2/0.2/0.		89
7	1/1.1/1.1/2.1/3.2/2.3/0.3/1.	1.1.1.1.3.3.	89
7	2/3.2/3.3/1.3/1.3/1.3/2.4/2.	1.1.2.2.3.4.	89
3	0/1.0/2.0/3.	1.2.3.	88
3	1/0.1/2.2/1.	1.1.1.	88
3	1/2.1/4.2/2.	2.2.2.2.	88
6	0/1.1/3.1/3.2/1.2/1.2/2.	1.2.2.3.3.	88
8	0/3.2/0.2/1.2/1.3/1.4/0.4/2.5/0.	1.1.1.2.3.	88
4	0/1.1/0.1/1.2/1.	1.2.	87
5	1/0.1/1.1/2.2/2.3/1.	1.2.3.	87
9	1/0.1/2.2/1.2/2.3/1.3/1.3/2.3/4.4/3.	2.4.5.5.	87
11	3/2.4/1.4/2.5/1.5/2.6/0.6/0.6/1.7/0.7/1.7/1.	5.6.	86
5	0/1.0/2.2/1.2/1.2/1.	1.2.3.	86
5	1/2.1/2.1/3.2/2.3/2.	1.1.2.2.2.3.	86
