gid=,1, btcnt=,0, method=,gid=,1, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,2, btcnt=,146, method=,gid=,2, btcnt=,26, method=,D,0,0,1,both not zero,better,equal,totsumM,totsumD,,,,
gid=,3, btcnt=,0, method=,gid=,3, btcnt=,155, method=,D,0,1,1,10,6,0,1586,18784,158.6,3130.6666666667,0.6,1
gid=,4, btcnt=,0, method=,gid=,4, btcnt=,0, method=,D,0,0,0,27,14,0,55424,71798,2052.7407407407,5128.4285714286,0.5185185185,2
gid=,5, btcnt=,0, method=,gid=,5, btcnt=,0, method=,D,0,0,0,33,14,0,222332,222155,6737.3333333333,15868.2142857143,0.4242424242,3
gid=,6, btcnt=,0, method=,gid=,6, btcnt=,0, method=,D,0,0,0,54,29,0,102592,100060,1899.8518518519,3450.3448275862,0.537037037,4
gid=,7, btcnt=,0, method=,gid=,7, btcnt=,0, method=,D,0,0,0,25,13,0,143913,141126,5756.52,10855.8461538462,0.52,5
gid=,8, btcnt=,647, method=,gid=,8, btcnt=,31, method=,D,0,0,1,48,28,0,70177,71177,1462.0208333333,2542.0357142857,0.5833333333,6
gid=,9, btcnt=,0, method=,gid=,9, btcnt=,0, method=,D,0,0,0,20,11,3,1110,1108,55.5,100.7272727273,0.625,7
gid=,10, btcnt=,0, method=,gid=,10, btcnt=,0, method=,D,0,0,0,20,9,7,2463,2662,123.15,295.7777777778,0.625,8
gid=,11, btcnt=,0, method=,gid=,11, btcnt=,0, method=,D,0,0,0,14,10,0,1340,1366,95.7142857143,136.6,0.7142857143,9
gid=,12, btcnt=,146, method=,gid=,12, btcnt=,26, method=,D,0,0,1,,,,,,,,,
gid=,13, btcnt=,0, method=,gid=,13, btcnt=,155, method=,D,0,1,1,,,,,,,,,
gid=,14, btcnt=,0, method=,gid=,14, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,15, btcnt=,0, method=,gid=,15, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,16, btcnt=,0, method=,gid=,16, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,17, btcnt=,0, method=,gid=,17, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,18, btcnt=,647, method=,gid=,18, btcnt=,31, method=,D,0,0,1,,,,,,,,,
gid=,19, btcnt=,0, method=,gid=,19, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,20, btcnt=,0, method=,gid=,20, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,21, btcnt=,0, method=,gid=,21, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,22, btcnt=,0, method=,gid=,22, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,23, btcnt=,0, method=,gid=,23, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,24, btcnt=,0, method=,gid=,24, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,25, btcnt=,0, method=,gid=,25, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,26, btcnt=,0, method=,gid=,26, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,27, btcnt=,0, method=,gid=,27, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,28, btcnt=,0, method=,gid=,28, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,29, btcnt=,0, method=,gid=,29, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,30, btcnt=,0, method=,gid=,30, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,31, btcnt=,0, method=,gid=,31, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,32, btcnt=,0, method=,gid=,32, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,33, btcnt=,0, method=,gid=,33, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,34, btcnt=,0, method=,gid=,34, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,35, btcnt=,0, method=,gid=,35, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,36, btcnt=,0, method=,gid=,36, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,37, btcnt=,0, method=,gid=,37, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,38, btcnt=,0, method=,gid=,38, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,39, btcnt=,0, method=,gid=,39, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,40, btcnt=,0, method=,gid=,40, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,41, btcnt=,0, method=,gid=,41, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,42, btcnt=,0, method=,gid=,42, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,43, btcnt=,0, method=,gid=,43, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,44, btcnt=,0, method=,gid=,44, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,45, btcnt=,0, method=,gid=,45, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,46, btcnt=,0, method=,gid=,46, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,47, btcnt=,0, method=,gid=,47, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,48, btcnt=,0, method=,gid=,48, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,49, btcnt=,0, method=,gid=,49, btcnt=,0, method=,D,0,0,0,,,,,,,,,
