0/1.;1. 8174
0/2.;1.1. 4933
0/1.0/1.;2. 3525
1/0.1/0.2/0.; 3109
0/3.;1.1.1. 2106
0/1.0/2.;1.2. 1837
1/0.1/1.;1. 1258
0/1.0/1.;1.1. 1205
0/2.0/2.;2.2. 883
0/1.0/1.0/2.;2.2. 880
0/1.0/2.;1.1.1. 852
0/1.0/3.;1.1.2. 850
0/1.1/0.1/1.;1.1. 836
1/1.1/2.;1.2. 804
0/1.0/1.0/1.;3. 801
0/2.0/3.;1.2.2. 673
0/1.1/1.1/1.;1.2. 569
0/2.0/3.;1.1.1.2. 559
1/0.1/0.; 527
0/1.1/0.1/1.2/0.;2. 487
0/2.0/2.;1.1.2. 462
1/1.1/2.;1.1.1. 462
1/3.1/3.;1.1.1.1.2. 410
1/0.1/0.1/1.1/1.;2. 400
1/0.1/0.2/1.;1. 384
0/4.;1.1.1.1. 368
0/2.0/4.;1.1.1.1.2. 361
1/0.1/1.2/0.;1. 354
0/3.0/4.;1.2.2.2. 340
1/0.1/2.;1.1. 338
0/2.0/3.;1.1.1.1.1. 330
1/0.1/1.1/1.3/0.;2. 328
0/1.0/4.;1.1.1.2. 314
0/5.;1.1.1.1.1. 313
1/1.1/3.2/2.;1.1.2.2. 313
1/2.1/3.;1.1.1.2. 306
0/1.1/1.1/2.2/1.;2.3. 305
1/1.1/1.2/1.;3. 275
0/1.0/2.0/3.;2.2.2. 272
0/2.0/2.0/4.;1.2.2.3. 268
0/1.0/2.0/2.;2.3. 260
0/1.0/1.0/1.;1.1.1. 247
0/1.0/1.1/1.1/2.;1.2.2. 244
1/0.2/0.3/0.3/0.3/0.3/0.3/0.4/0.; 239
0/1.0/1.0/1.0/3.;2.2.2. 238
0/1.0/2.1/0.1/1.;1.1.2. 236
1/0.1/1.2/1.;1.1. 234
0/1.1/1.1/1.2/1.;4. 230
0/2.0/4.;1.1.2.2. 224
1/1.1/2.2/1.;1.1.2. 216
0/1.1/0.1/1.2/0.2/1.2/2.;2.3. 206
1/1.2/0.2/0.3/2.3/2.3/2.;2.2.3. 202
0/2.0/5.;1.1.1.2.2. 201
0/1.0/2.0/3.;1.1.2.2. 199
0/1.1/0.1/1.2/1.;1.1.1. 197
0/1.1/1.1/2.;1.1.2. 197
1/0.1/1.2/0.2/1.3/1.3/2.4/1.;2.4. 194
0/1.0/2.0/2.;1.2.2. 191
0/1.0/1.0/1.;1.2. 188
0/1.0/1.0/3.;1.2.2. 188
0/1.0/1.1/0.1/1.1/1.1/1.;1.2.2. 188
0/1.0/5.;1.1.1.1.2. 188
0/1.2/1.3/0.3/0.3/2.4/1.5/1.;2.4. 185
1/2.1/2.;1.1.2. 185
0/1.0/3.;1.1.1.1. 182
1/1.1/4.2/2.;1.1.1.2.2. 182
1/1.1/1.;1.1. 174
2/1.2/3.3/1.3/1.;1.1.2.2. 172
1/0.1/1.1/2.2/0.2/1.3/0.;1.3. 168
0/1.0/1.1/0.1/2.2/0.;2.2. 167
1/0.2/0.2/1.2/1.3/0.3/1.3/1.4/1.;5. 166
0/2.1/1.1/1.1/2.3/1.;1.1.1.4. 165
1/0.1/2.1/2.1/2.2/0.2/1.;1.2.2.2. 164
1/1.1/1.2/1.;1.2. 164
1/0.1/3.2/0.;1.1.1. 161
0/1.0/1.1/0.1/0.;1.1. 159
1/0.2/2.3/1.3/1.3/1.4/0.4/1.;2.4. 156
0/2.0/2.0/5.;1.1.2.2.3. 154
1/0.1/0.1/0.3/0.; 152
0/1.0/1.0/2.;1.1.1.1. 151
0/4.1/2.1/3.;1.1.1.2.2.2. 150
1/2.1/2.;2.2. 150
2/2.2/2.2/3.;1.2.2.2. 150
0/1.0/1.0/2.;1.1.2. 147
1/1.1/1.2/0.;2. 147
0/2.0/2.;1.1.1.1. 141
0/3.1/2.1/3.;1.2.2.3. 141
0/1.0/1.0/2.0/2.;2.2.2. 139
1/2.1/2.2/0.;2.2. 136
1/0.1/2.1/3.3/0.;1.2.2. 135
1/0.1/2.2/1.;1.2. 135
0/1.0/2.0/4.;1.1.1.2.2. 134
0/1.1/0.1/1.2/1.;3. 131
1/1.2/0.2/0.2/1.3/0.3/0.5/1.;3. 131
1/3.1/3.;1.1.2.2. 131
0/1.1/1.1/1.2/0.;3. 130
0/2.1/1.1/2.;1.1.1.2. 128
1/1.1/3.2/0.2/1.2/2.2/2.;3.3.3. 128
0/1.0/1.1/1.1/3.2/1.;1.1.1.2.2. 126
0/1.1/0.1/0.2/0.2/0.2/1.;2. 126
0/1.2/0.2/1.3/0.3/0.;2. 125
1/1.2/0.2/0.2/0.2/1.2/1.5/1.;4. 124
2/0.2/1.2/1.;2. 123
1/3.1/4.;1.1.1.2.2. 122
0/1.1/0.1/2.;1.2. 118
1/1.1/2.2/2.;1.1.1.1.1. 115
0/1.1/1.1/2.2/2.;3.3. 114
0/3.1/3.1/3.;1.1.1.2.2.2. 114
1/2.2/0.2/1.2/3.3/1.4/0.;2.2.3. 114
0/1.0/1.2/0.2/1.2/1.;1.1.2. 112
0/1.0/1.0/2.0/3.;1.2.2.2. 111
0/6.;1.1.1.1.1.1. 111
1/0.1/1.2/0.2/1.;2. 111
0/1.0/3.1/1.1/3.2/1.2/2.;1.2.2.3.3. 110
0/2.1/2.1/2.;1.1.2.2. 107
4/1.5/0.5/0.5/0.5/0.5/1.6/0.6/1.6/1.8/1.9/0.;5. 107
0/1.0/2.0/4.;1.2.2.2. 106
0/1.1/0.1/1.1/1.1/2.;2.3. 106
1/0.1/1.1/1.1/2.1/2.1/3.;1.2.3.3. 106
1/0.1/1.2/2.;1.2. 106
1/2.1/3.1/4.2/2.2/3.3/2.;1.1.1.2.2.2.3.4. 106
0/1.0/1.0/1.0/2.;2.3. 105
1/0.2/2.2/2.2/2.3/1.4/0.;2.2.3. 103
2/1.3/1.3/1.3/3.4/0.4/1.4/2.5/1.6/0.;3.3.4. 103
3/0.3/0.3/1.4/0.4/1.5/0.5/0.5/1.6/0.;3. 103
3/2.4/0.4/1.4/2.5/0.5/1.5/2.6/0.6/1.6/1.;4.6. 103
0/1.0/2.0/2.;1.1.1.2. 102
1/0.1/2.2/1.2/2.3/1.3/2.;1.2.2.3. 102
1/2.1/3.;1.1.1.1.1. 102
0/2.1/0.1/2.2/0.;1.1.2. 101
0/3.1/2.1/2.;1.2.2.2. 101
0/1.0/2.1/1.1/1.;2.3. 100
0/1.2/1.2/1.2/1.2/1.;2.3. 100
1/0.1/0.1/0.1/1.1/1.1/1.;3. 100
1/0.1/1.2/0.2/1.2/1.;3. 100
3/1.3/2.3/2.5/0.5/1.5/1.5/3.6/1.6/2.6/2.7/2.;4.5.8. 100
0/1.1/1.1/2.2/3.3/1.3/2.;2.2.3.3. 99
0/2.0/2.0/2.1/0.1/1.;1.1.1.2.2. 99
1/1.1/4.2/3.;1.1.2.2.2. 99
0/1.0/1.1/0.1/1.;1.1.1. 98
1/0.1/2.2/0.;1.1. 98
0/1.1/1.1/1.1/2.3/1.;3.3. 97
0/1.1/1.1/2.;1.3. 97
0/2.0/3.0/4.;1.1.1.2.2.2. 97
0/4.1/0.1/3.;1.1.1.2.2. 97
1/1.1/2.1/4.1/4.;1.1.2.2.2.3. 97
1/1.2/2.4/1.4/2.4/3.5/2.6/0.6/1.6/2.6/2.;5.5.6. 97
1/4.1/4.;1.1.1.1.1.1.2. 97
0/1.0/1.0/1.1/1.1/3.;1.2.2.2. 96
