gid	mod	cnt
1	1.1.2.	5
1	1.1.2.2.3.	7
1	1.2.	19
1	1.2.2.	11
1	1.2.2.2.4.	14
1	1.2.2.3.4.4.	3
1	1.2.3.	37
1	1.2.3.3.3.4.	10
1	1.3.3.	14
1	1.3.3.4.4.4.4.	4
1	1.3.4.	17
1	2.2.	25
1	2.2.2.3.3.4.	4
1	2.2.2.5.	24
1	2.2.3.	24
1	2.2.3.3.4.4.	1
1	2.2.3.4.4.4.4.	6
1	2.2.3.6.	3
1	2.2.5.	215
1	2.3.3.	17
1	2.3.3.3.4.4.4.	5
1	2.3.3.6.	134
1	2.3.4.	26
1	2.3.4.4.4.4.4.5.	52
1	2.3.4.6.	92
1	2.3.4.7.	21
1	2.3.6.	7
1	2.4.4.7.	36
1	2.4.5.8.	203
1	3.3.4.	9
1	3.3.4.7.	92
1	3.3.6.	24
1	3.4.4.7.	121
1	3.4.5.8.	63
1	3.4.7.	4
1	4.4.5.8.	27
1	4.4.7.	4
2	1.1.2.2.	5
2	1.1.2.2.3.	9
2	1.1.2.3.	10
2	1.2.	41
2	1.2.2.2.4.	2
2	1.2.2.3.3.	14
2	1.2.2.3.3.3.	4
2	1.2.4.	122
2	1.3.	23
2	2.2.	50
2	2.2.2.3.3.3.	17
2	2.2.2.3.3.4.	6
2	2.2.2.3.4.5.	7
2	2.2.2.3.5.	6
2	2.2.2.5.	3
2	2.2.3.3.5.	2
2	2.2.3.4.6.	13
2	2.2.5.	197
2	2.3.	39
2	2.3.3.3.4.4.6.	5
2	2.3.3.3.4.6.	41
2	2.3.3.4.4.7.	8
2	2.3.5.	55
2	2.3.5.6.	3
2	2.3.6.	142
2	2.4.	31
2	2.4.6.	72
2	3.3.3.3.4.4.7.	109
2	3.3.3.4.4.4.7.	124
2	3.3.6.	12
2	3.3.6.6.	10
2	3.3.6.7.	11
2	3.4.7.	24
2	3.4.7.7.	63
3	1.1.2.2.	27
3	1.2.	38
3	1.2.2.3.	17
3	1.3.	21
3	2.2.	234
3	2.2.2.4.	21
3	2.3.	261
3	2.4.	278
4	1.1.	114
4	1.1.1.	3
4	1.1.2.	22
4	1.2.	304
4	1.2.2.	31
4	1.3.	75
4	2.2.	356
4	2.2.2.	49
4	2.3.	218
5	1.1.	23
5	1.1.1.2.	10
5	1.1.1.2.3.	10
5	1.1.2.2.	19
5	1.1.2.2.3.	3
5	1.1.2.2.3.3.	2
5	1.1.2.3.3.	3
5	1.2.	107
5	1.2.2.2.	1
5	1.2.2.2.3.3.	7
5	1.2.2.3.3.	2
5	1.2.2.3.3.3.	3
5	1.2.5.	117
5	1.3.	25
5	1.3.5.	42
5	2.2.	158
5	2.2.2.2.3.	7
5	2.2.2.3.3.3.	25
5	2.2.5.	49
5	2.2.6.	71
5	2.3.	254
5	2.3.5.	10
5	2.3.6.	148
5	3.3.6.	24
6	1.1.2.2.	18
6	1.1.2.2.3.	16
6	1.2.	35
6	1.2.2.3.	1
6	1.2.2.3.3.	7
6	1.2.3.	5
6	1.2.3.3.4.4.	2
6	1.2.3.4.4.	4
6	1.3.	9
6	1.3.3.	6
6	1.3.4.	6
6	1.4.	11
6	1.4.4.	10
6	2.2.	86
6	2.2.2.3.3.4.	4
6	2.2.2.3.4.	2
6	2.2.3.	8
6	2.2.3.3.4.5.	28
6	2.2.5.	109
6	2.3.	31
6	2.3.3.	19
6	2.3.3.3.	6
6	2.3.3.4.	2
6	2.3.4.	16
6	2.3.5.	32
6	2.3.6.	23
6	2.4.	13
6	2.4.4.	77
6	2.4.5.	90
