Gameid,totSubmit,avr_T,avr_U,ans,U/ans,median_U,min_U,gameid,var_degree,avr_degree,N/avr_degree,U/n,circlecount,n,,log(CC/n!),averagelen,logVar,3len/3!,4len/4!,...,,,,,,,,,,,..,,,,,,,,,,
1,276,59.0652,3.88043,5,0.776087,0,0,1,2.39506,4.22222,9.48104849629826,0.431158888888889,176,9,2.24551266781415,-7.63134,6.90341,12.2572,3,1.33333,0.4,0.0694444,0.00555556,0,0.0000909392,,,,,,,,0.477121254719662,0.124937650870738,-0.397940008672038,-1.15836277004381,-2.25527215766786,??:502,-4.04124887064019,??:502,??:502,
2,251,52.3506,3.2988,5,0.659761,0,0,2,2.39506,4.22222,14.8758354589084,0.366533333333333,3336,9,3.5232260419657,-4.6893,6.36241,15.339,13.6667,9.33333,4.35,1.27778,0.207937,0.0133929,0.0000909392,,,,,,,,1.13566366125362,0.970036621517357,0.638489256954637,0.106456086208381,-0.682068226079267,-1.87312537387438,-4.04124887064019,??:502,??:502,
3,236,31.0508,0.940678,4,0.235169,0,0,3,0.75,2.5,9.51816088819027,0.11758475,6416,8,3.80726435527611,-1.83805,7.952,4.64549,25.6667,18.6667,9.25,2.91111,0.51746,0.0383929,,,,,,,,,1.40937003447126,1.27106754781171,0.966141732739033,0.464058616119136,-0.286123215824057,-1.41574908229703,??:502,??:502,??:502,
4,236,37,1.30932,5,0.261864,0,0,4,0.16,2.2,9.16144539049182,0.130932,14598,10,4.16429335931446,-5.51577,6.48664,12.0622,39.3333,30,15.6833,5.28611,1.04008,0.0556548,0.00128968,0,,,,,,,1.59476038454014,1.47712125471966,1.19543744999379,0.723136196233442,0.0170667452817901,-1.25449737358236,-2.88951803502957,??:502,??:502,
5,226,43.1903,2.20796,5,0.441593,0,0,5,1.36,2.8,12.8026741297461,0.220796,37358,10,4.57238361776647,-4.57611,7.06146,7.8289,56.3333,45.4167,25.5167,9.53611,2.21627,0.241964,0.0139881,0,,,,,,,1.75076519291495,1.65721557497714,1.40682450764865,0.979371252056132,0.345622667774432,-0.616249244616131,-1.85424127160922,??:502,??:502,
6,223,35.704,1.5157,5,0.303139,0,0,6,1.58025,3.55556,16.7208152622542,0.168411111111111,50434,9,4.70272341410473,-1.97341,8.58373,6.80321,73.3333,60.8333,35.35,13.7861,3.39246,0.428274,0.0266865,,,,,,,,1.86530122869592,1.78414137610319,1.54838941813292,1.13944142440412,0.530514735659206,-0.368278290299377,-1.57370838126533,??:502,??:502,
7,220,65.7864,5.06818,5,1.01364,3,0,7,0.96,3.2,15.7493634339071,0.506818,83498,10,4.92167607309598,-3.77183,7.14429,7.34317,91.3333,77.9167,46.8,19.0472,4.97341,0.708631,0.0223545,0,,,,,,,1.96062914959906,1.89163055061928,1.67024585307412,1.27983114201034,0.696654263253511,-0.14957985280096,-1.65063503949174,??:502,??:502,
8,216,41.0833,1.43056,5,0.286111,0,0,8,1.35802,3.55556,17.7830104603718,0.158951111111111,100338,9,5.00146544014778,-1.28553,8.44458,6.67286,109.333,95,58.25,24.3083,6.55437,0.988988,0.044709,,,,,,,,2.03875126492146,1.97772360528885,1.76529592969806,1.3857545875379,0.816530954047074,-0.00480897793305325,-1.34960504382776,??:502,??:502,
9,214,35.7243,1.35047,5,0.270093,0,0,9,2.16,3.2,16.6504887068557,0.135047,159690,10,5.20327772089242,-3.12342,7.26235,6.69439,130.667,116.833,74.0833,32.2639,9.19246,1.50923,0.0462963,0,,,,,,,2.11616592019347,2.06756552850997,1.86972031951445,1.50871686293226,0.963431748759331,0.17875542938409,-1.33445371640737,??:502,??:502,
10,201,78.9303,6.19403,6,1.03234,3,0,10,2.16,4.2,22.4302150640702,0.619403,219042,10,5.34052739620718,-2.80739,7.38741,5.95856,152,138.667,89.9167,40.2194,11.8306,2.02946,0.0925926,0,,,,,,,2.18184358794477,2.14197311988295,1.95384035963414,1.60443558742848,1.07300677083937,0.307380495933929,-1.03342372074339,??:502,??:502,
