gameid,var_degree,avr_degree
1,2.39506,4.22222
2,2.39506,4.22222
3,0.75,2.5
4,0.16,2.2
5,1.36,2.8
6,1.58025,3.55556
7,0.96,3.2
8,1.35802,3.55556
9,2.16,3.2
10,2.16,4.2
11,2.76,4.2
12,1.04,4.4
13,0.84,4.4
14,2.44,4.6
15,2.24,4.6
16,1.53719,3.09091
17,0.958678,3.63636
18,2.14876,3.81818
19,1.60331,4.18182
20,4.41322,4.36364
21,2.26446,5.09091
22,1.28926,5.27273
23,2.06612,5.45455
24,2.59504,5.63636
25,0.809917,2.90909
26,1.5,3
27,0.805556,3.16667
28,0.888889,3.33333
29,2.91667,3.5
30,2.72222,3.66667
31,2.80556,3.83333
32,1.5,4
33,1.63889,4.16667
34,1.08333,4.5
35,1.97222,3.16667
36,2.38889,3.33333
37,0.972222,2.83333
38,0.638889,2.83333
39,0.92562,3.27273
40,1.56213,2.76923
41,2.17751,2.76923
42,1.40828,2.76923
43,1.80556,3.16667
44,1.45562,2.92308
45,1.14793,3.07692
46,1.25444,3.23077
47,2.72222,3.66667
48,2.55621,3.53846
49,2.97222,3.83333
50,2.36686,3.69231
51,2.5,4
52,1.78698,3.53846
53,1.44379,3.69231
54,1.53846,4
55,2.7438,5.27273
56,2.55556,4.66667
57,2.13889,4.83333
58,1.83333,6
59,1.63889,6.16667
60,2.08333,6.5
61,3.01775,5.53846
62,2.17751,6.76923
63,3.31361,7.38462
64,1.91837,6.28571
65,2.2449,7.42857
66,4.16,7.2
67,2.99556,7.73333
68,3.12889,7.73333
69,2.91667,4.5
70,2.22222,6.33333
71,3.55102,5.85714
72,3.91837,6.28571
73,3.57143,7
74,3.14286,7
75,0.975207,4.54545
76,3.97633,3.84615
77,1.51479,3.84615
78,2.22485,5.07692
79,0.792899,2.76923
80,1.06122,4.28571
81,3.69388,4.85714
82,2.34694,3.71429
83,3.04889,4.13333
84,1.71556,4.53333
85,2.47222,4.16667
86,1.22222,6.33333
87,1.98438,4.875
88,1.75,5
89,2.73438,5.875
90,5.25,6
91,0.982249,3.69231
92,0.674556,4.30769
93,3.44379,4.30769
94,2.40237,4.46154
95,2.22485,4.92308
96,2.63265,3.71429
97,2.69388,4.85714
98,1.57143,4
99,3.26531,4.14286
100,2.55102,4.85714
