,1101
1.1.,400
1.1.1.1.,49
1.1.1.1.1.1.,1
1.1.1.1.1.1.1.1.1.2.4.7.,70
1.1.1.1.1.1.1.1.1.3.6.,6
1.1.1.1.1.1.1.1.2.3.7.,1
1.1.1.1.1.1.1.1.2.4.6.,3
1.1.1.1.1.1.1.1.2.6.,2
1.1.1.1.1.1.1.1.3.5.,3
1.1.1.1.1.1.1.2.3.4.5.5.,3
1.1.1.1.1.1.1.2.4.5.,1
1.1.1.1.1.1.1.3.5.5.,1
1.1.1.1.1.1.2.2.,1
1.1.1.1.1.1.2.2.2.2.2.3.5.7.9.,1
1.1.1.1.1.1.2.2.2.3.3.4.7.7.,10
1.1.1.1.1.1.2.2.3.3.4.6.6.,5
1.1.1.1.1.1.2.2.3.4.5.,2
1.1.1.1.1.1.2.2.4.4.,2
1.1.1.1.1.1.2.3.3.3.5.6.,1
1.1.1.1.1.1.2.3.3.4.4.,1
1.1.1.1.1.1.2.3.3.4.6.,1
1.1.1.1.1.1.2.4.,1
1.1.1.1.1.1.2.4.4.,4
1.1.1.1.1.1.2.4.6.,4
1.1.1.1.1.1.2.5.5.,2
1.1.1.1.1.1.3.3.,1
1.1.1.1.1.1.3.3.3.4.5.,1
1.1.1.1.1.1.3.3.4.,1
1.1.1.1.1.1.3.5.,2
1.1.1.1.1.1.4.,5
1.1.1.1.1.1.4.4.,4
1.1.1.1.1.2.2.2.2.2.3.,2
1.1.1.1.1.2.2.2.2.3.,2
1.1.1.1.1.2.2.2.2.3.4.5.5.,1
1.1.1.1.1.2.2.2.3.,4
1.1.1.1.1.2.2.2.3.3.3.4.,5
1.1.1.1.1.2.2.2.3.3.4.5.,3
1.1.1.1.1.2.2.2.3.4.6.,6
1.1.1.1.1.2.2.2.3.4.7.7.,3
1.1.1.1.1.2.2.2.5.,1
1.1.1.1.1.2.2.3.,7
1.1.1.1.1.2.2.3.3.4.4.5.,1
1.1.1.1.1.2.2.3.3.4.5.,8
1.1.1.1.1.2.2.3.3.5.,2
1.1.1.1.1.2.2.3.4.,9
1.1.1.1.1.2.2.3.4.4.,1
1.1.1.1.1.2.2.3.4.4.4.,2
1.1.1.1.1.2.2.3.4.5.5.,2
1.1.1.1.1.2.2.3.4.5.5.6.,1
1.1.1.1.1.2.2.4.5.,5
1.1.1.1.1.2.2.5.,28
1.1.1.1.1.2.3.,6
1.1.1.1.1.2.3.3.3.,1
1.1.1.1.1.2.3.3.3.4.5.5.,6
1.1.1.1.1.2.3.3.3.6.,1
1.1.1.1.1.2.3.3.4.4.4.5.,9
1.1.1.1.1.2.3.3.4.5.,14
1.1.1.1.1.2.3.3.5.,16
1.1.1.1.1.2.3.3.5.6.,2
1.1.1.1.1.2.3.4.,16
1.1.1.1.1.2.3.4.4.,10
1.1.1.1.1.2.3.4.4.4.,3
1.1.1.1.1.2.3.5.5.,1
1.1.1.1.1.2.5.,4
1.1.1.1.1.3.,17
1.1.1.1.1.3.3.3.,9
1.1.1.1.1.3.3.5.,1
1.1.1.1.1.3.4.,12
1.1.1.1.1.3.4.4.,2
1.1.1.1.2.,39
1.1.1.1.2.2.,20
1.1.1.1.2.2.2.,39
1.1.1.1.2.2.2.2.,1
1.1.1.1.2.2.2.2.2.3.5.6.8.,1
1.1.1.1.2.2.2.2.2.4.,4
1.1.1.1.2.2.2.2.3.3.4.,2
1.1.1.1.2.2.2.2.3.4.4.5.,17
1.1.1.1.2.2.2.2.4.,3
1.1.1.1.2.2.2.2.4.4.,9
1.1.1.1.2.2.2.2.4.4.5.5.6.,7
1.1.1.1.2.2.2.3.3.,2
1.1.1.1.2.2.2.3.3.3.3.,1
1.1.1.1.2.2.2.3.3.3.3.5.5.,3
1.1.1.1.2.2.2.3.3.3.4.5.,1
1.1.1.1.2.2.2.3.3.3.5.5.7.,3
1.1.1.1.2.2.2.3.3.4.,4
1.1.1.1.2.2.2.3.3.4.4.,2
1.1.1.1.2.2.2.3.3.4.5.5.,4
1.1.1.1.2.2.2.3.3.5.5.,4
1.1.1.1.2.2.2.3.4.4.4.5.,4
1.1.1.1.2.2.2.3.4.5.,22
1.1.1.1.2.2.2.3.4.5.6.,3
1.1.1.1.2.2.2.3.5.,1
1.1.1.1.2.2.2.4.,11
1.1.1.1.2.2.2.4.4.,7
1.1.1.1.2.2.2.4.4.4.,1
1.1.1.1.2.2.2.4.4.4.5.5.,1
1.1.1.1.2.2.3.3.,14
1.1.1.1.2.2.3.3.3.3.4.4.,1
1.1.1.1.2.2.3.3.3.4.4.5.,1
1.1.1.1.2.2.3.3.3.4.5.,1
1.1.1.1.2.2.3.3.3.4.5.6.,1
1.1.1.1.2.2.3.3.3.5.,1
1.1.1.1.2.2.3.3.3.5.6.,8
1.1.1.1.2.2.3.3.4.,13
1.1.1.1.2.2.3.3.4.4.,9
1.1.1.1.2.2.3.3.4.4.4.,3
1.1.1.1.2.2.3.3.4.4.5.5.,1
1.1.1.1.2.2.3.3.4.6.,5
1.1.1.1.2.2.3.3.6.,1
1.1.1.1.2.2.3.4.4.5.,2
1.1.1.1.2.2.3.4.4.5.6.,7
1.1.1.1.2.2.3.4.5.,9
1.1.1.1.2.2.3.5.,6
1.1.1.1.2.2.4.,32
1.1.1.1.2.2.4.4.,10
1.1.1.1.2.2.4.4.4.,1
1.1.1.1.2.2.6.,1
1.1.1.1.2.3.3.,28
1.1.1.1.2.3.3.3.3.,1
1.1.1.1.2.3.3.3.3.3.5.5.5.,3
1.1.1.1.2.3.3.3.3.4.,15
1.1.1.1.2.3.3.3.3.5.5.,1
1.1.1.1.2.3.3.3.4.4.5.,2
1.1.1.1.2.3.3.3.4.5.,3
1.1.1.1.2.3.3.3.5.8.,1
1.1.1.1.2.3.3.4.,13
1.1.1.1.2.3.3.4.4.,5
1.1.1.1.2.3.3.4.4.4.,1
1.1.1.1.2.3.3.4.4.5.6.7.,1
1.1.1.1.2.3.3.4.5.5.,2
1.1.1.1.2.3.3.5.5.,1
1.1.1.1.2.3.4.4.5.,1
1.1.1.1.2.3.4.5.,1
1.1.1.1.2.3.5.,4
1.1.1.1.2.4.,48
1.1.1.1.2.4.4.,6
1.1.1.1.2.4.4.4.,2
1.1.1.1.3.3.,10
1.1.1.1.3.3.3.4.5.,1
1.1.1.1.3.3.4.,5
1.1.1.1.3.3.4.4.4.4.4.5.6.7.,1
1.1.1.1.4.,68
1.1.1.2.2.2.2.2.2.2.2.3.,1
1.1.1.2.2.2.2.2.2.3.4.,4
1.1.1.2.2.2.2.2.2.3.4.4.,8
1.1.1.2.2.2.2.2.3.,1
1.1.1.2.2.2.2.2.3.4.,1
1.1.1.2.2.2.2.2.3.4.4.4.,1
1.1.1.2.2.2.2.2.3.4.4.5.5.6.,10
1.1.1.2.2.2.2.2.3.4.7.9.,2
1.1.1.2.2.2.2.2.4.5.,1
1.1.1.2.2.2.2.2.4.5.6.,1
1.1.1.2.2.2.2.2.5.,2
1.1.1.2.2.2.2.3.,26
1.1.1.2.2.2.2.3.3.4.4.4.5.,11
1.1.1.2.2.2.2.3.3.4.4.5.,1
1.1.1.2.2.2.2.3.3.4.4.5.6.,7
1.1.1.2.2.2.2.3.3.4.5.,5
1.1.1.2.2.2.2.3.3.4.5.6.,7
1.1.1.2.2.2.2.3.3.5.,13
1.1.1.2.2.2.2.3.4.,19
1.1.1.2.2.2.2.3.4.4.,2
1.1.1.2.2.2.2.3.4.4.4.,4
1.1.1.2.2.2.2.3.4.4.4.5.5.,1
1.1.1.2.2.2.2.3.4.4.4.5.7.,3
1.1.1.2.2.2.2.3.4.4.5.5.,1
1.1.1.2.2.2.2.3.4.4.6.,1
1.1.1.2.2.2.2.3.4.5.5.6.6.,1
1.1.1.2.2.2.2.3.4.6.6.,1
