Gameid,totSubmit,avr_T
1,141,131.674
2,130,119.392
3,121,43.5702
4,119,52.7731
5,114,58.3772
6,113,96.7965
7,109,442.229
8,114,43.8596
9,110,47.5545
10,100,110.95
11,100,125.62
12,86,168.744
13,81,204.259
14,81,55.5185
15,80,203.9
16,79,60.7215
17,78,60.3077
18,74,105.662
19,73,80.9041
20,72,38.375
21,71,66.3803
22,63,163.111
23,59,109.695
24,61,59.9344
25,63,263.254
26,62,87.3387
27,61,63.4918
28,60,56.9833
29,61,41.5902
30,62,38.129
31,55,94.7636
32,55,135.618
33,55,79.5818
34,54,163.222
35,54,47.2963
36,54,44.037
37,52,95.0577
38,54,62.4259
39,50,89.9
40,53,128.585
41,55,38.3091
42,55,30.1455
43,55,56.6727
44,54,80.5556
45,50,63.4
46,50,46.1
47,50,36.78
48,48,35.5
49,49,44.1633
50,50,43.42
51,48,58.3333
52,49,37.2857
53,51,57.2353
54,47,44.5745
55,48,57.2708
56,48,84.8125
57,46,76.2826
58,46,65.2391
59,49,196.51
60,39,126.564
61,41,133.488
62,41,94.6341
63,40,98.45
64,37,206.703
65,38,204.237
66,38,174.974
67,37,144.892
68,37,155.189
69,35,84.1429
70,38,117.763
71,37,162.865
72,36,146.056
73,34,135.853
74,35,118.943
75,34,106.265
76,36,33.8889
77,37,50.5135
78,36,205.056
79,38,99.5263
80,35,166.229
81,36,122.806
82,37,136.027
83,35,90.4571
84,34,110.853
85,36,78.5278
86,37,118.865
87,38,140.421
88,35,116.2
89,35,171.543
90,34,184.176
91,35,115.514
92,34,160.471
93,36,45.1667
94,34,108.441
95,35,146.943
96,35,71.2
97,36,88.3889
98,36,82.8611
99,41,110.854
100,67,117.552
