Gameid,totSubmit,tot_U,avr_U,ans,U/ans,median_U,min_U
1,276,1071,3.88043,5,0.776087,0,0
2,251,828,3.2988,5,0.659761,0,0
3,236,222,0.940678,4,0.235169,0,0
4,236,309,1.30932,5,0.261864,0,0
5,226,499,2.20796,5,0.441593,0,0
6,223,338,1.5157,5,0.303139,0,0
7,220,1115,5.06818,5,1.01364,3,0
8,216,309,1.43056,5,0.286111,0,0
9,214,289,1.35047,5,0.270093,0,0
10,201,1245,6.19403,6,1.03234,3,0
11,199,1236,6.21106,6,1.03518,0,0
12,182,1938,10.6484,6,1.77473,5,0
13,173,1047,6.05202,6,1.00867,1,0
14,173,224,1.2948,6,0.2158,0,0
15,169,547,3.23669,6,0.539448,0,0
16,172,584,3.39535,6,0.565891,1,0
17,169,518,3.06509,6,0.510848,0,0
18,166,1296,7.80723,6,1.3012,5,0
19,158,708,4.48101,6,0.746835,1,0
20,160,95,0.59375,6,0.0989583,0,0
21,159,419,2.63522,7,0.37646,0,0
22,145,1617,11.1517,7,1.5931,1,0
23,140,846,6.04286,7,0.863265,0,0
24,140,284,2.02857,7,0.289796,0,0
25,141,386,2.73759,6,0.456265,0,0
26,142,845,5.9507,6,0.991784,4,0
27,141,277,1.96454,7,0.280648,0,0
28,141,242,1.71631,7,0.245187,0,0
29,141,60,0.425532,6,0.070922,0,0
30,141,112,0.794326,7,0.113475,0,0
31,133,350,2.63158,7,0.37594,0,0
32,131,550,4.19847,7,0.599782,0,0
33,130,374,2.87692,7,0.410989,0,0
34,123,1139,9.26016,7,1.32288,6,0
35,123,187,1.52033,6,0.253388,0,0
36,125,248,1.984,6,0.330667,0,0
37,121,260,2.14876,6,0.358127,0,0
38,123,344,2.79675,6,0.466125,0,0
39,120,526,4.38333,6,0.730556,1,0
40,125,407,3.256,7,0.465143,1,0
41,126,40,0.31746,7,0.0453515,0,0
42,126,70,0.555556,6,0.0925926,0,0
43,126,303,2.40476,6,0.400794,0,0
44,124,276,2.22581,7,0.317972,0,0
45,122,228,1.86885,7,0.266979,0,0
46,126,219,1.7381,7,0.248299,0,0
47,126,134,1.06349,6,0.177249,0,0
48,122,47,0.385246,7,0.0550351,0,0
49,121,108,0.892562,6,0.14876,0,0
50,127,135,1.06299,7,0.151856,0,0
51,119,484,4.06723,7,0.581032,1,0
52,121,105,0.867769,7,0.123967,0,0
53,123,304,2.47154,7,0.353078,0,0
54,120,152,1.26667,7,0.180952,0,0
55,118,733,6.21186,7,0.887409,4,0
56,116,976,8.41379,7,1.20197,5,0
57,112,851,7.59821,7,1.08546,5,0
58,115,663,5.76522,8,0.720652,0,0
59,112,2369,21.1518,8,2.64397,10,0
60,100,1513,15.13,8,1.89125,7,0
61,100,1469,14.69,8,1.83625,7,0
62,99,904,9.13131,9,1.01459,1,0
63,101,923,9.13861,9,1.0154,2,0
64,95,2127,22.3895,9,2.48772,16,0
65,89,2424,27.236,10,2.7236,10,0
66,86,1466,17.0465,10,1.70465,9,0
67,88,929,10.5568,10,1.05568,7,0
68,90,1005,11.1667,10,1.11667,3,0
69,87,745,8.56322,7,1.22332,4,0
70,91,823,9.04396,8,1.13049,4,0
71,87,1086,12.4828,9,1.38697,8,0
72,84,1386,16.5,9,1.83333,8,0
73,82,690,8.41463,9,0.934959,1,0
74,84,675,8.03571,9,0.892857,4,0
75,82,587,7.15854,7,1.02265,5,0
76,84,31,0.369048,7,0.0527211,0,0
77,87,159,1.82759,7,0.261084,0,0
78,84,1142,13.5952,8,1.6994,8,0
79,89,673,7.5618,7,1.08026,6,0
80,85,1303,15.3294,8,1.91618,7,0
81,85,717,8.43529,8,1.05441,2,0
82,91,925,10.1648,8,1.2706,6,0
83,84,497,5.91667,8,0.739583,5,0
84,83,986,11.8795,9,1.31995,7,0
85,86,505,5.87209,7,0.83887,1,0
86,85,1284,15.1059,8,1.88824,8,0
87,86,765,8.89535,10,0.889535,6,0
88,83,1160,13.9759,10,1.39759,10,0
89,82,1454,17.7317,10,1.77317,11,0
90,83,1379,16.6145,10,1.66145,9,0
91,85,931,10.9529,7,1.56471,6,0
92,81,1424,17.5802,8,2.19753,7,0
93,83,179,2.15663,7,0.30809,0,0
94,82,901,10.9878,8,1.37348,6,0
95,83,1123,13.5301,8,1.69127,8,0
96,84,390,4.64286,7,0.663265,1,0
97,87,647,7.43678,8,0.929598,1,0
98,88,562,6.38636,8,0.798295,1,0
99,97,832,8.57732,8,1.07216,4,0
100,172,1479,8.59884,8,1.07485,5,0
